userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Quercus montana,Quercus montana,Quercus montana,Quercus,Fagaceae,19379,species,,0,NA,NA
Water oak,Water oak,Quercus nigra,Quercus,Fagaceae,19280,species,,0,NA,NA
Cherrybark oak,Cherrybark oak,Quercus pagoda,Quercus,Fagaceae,195195,species,,0,NA,NA
Pin oak,Pin oak,Quercus palustris,Quercus,Fagaceae,19281,species,,0,NA,NA
Willow oak,Willow oak,Quercus phellos,Quercus,Fagaceae,19282,species,,0,NA,NA
Quercus robur,Quercus robur,Quercus robur,Quercus,Fagaceae,19405,species,,0,NA,NA
Northern red oak,Northern red oak,Quercus rubra,Quercus,Fagaceae,19408,species,,0,NA,NA
Red oak,Red oak,Quercus rubra,Quercus,Fagaceae,19408,species,,0,NA,NA
Black oak,Black oak,Quercus velutina,Quercus,Fagaceae,19447,species,,0,NA,NA
Live oak,Live oak,Quercus virginiana,Quercus,Fagaceae,19283,species,,0,NA,NA
Shumard oak,Shumard oak,Quercus shumardii,Quercus,Fagaceae,19417,species,,0,NA,NA
Buckthorn,Buckthorn,Rhamnus,Rhamnus,Rhamnaceae,28561,genus,,0,NA,NA
Common buckthorn,Common buckthorn,Rhamnus cathartica,Rhamnus,Rhamnaceae,28573,species,,0,NA,NA
Rhamnus cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus,Rhamnaceae,28573,species,,0,NA,NA
Frangula alnus,Frangula alnus,Rhamnus frangula,Rhamnus,Rhamnaceae,28579,species,,0,NA,NA
Azalea,Azalea,Rhododendron,Rhododendron,Ericaceae,23700,genus,,0,NA,NA
Rhododendron,Rhododendron,Rhododendron,Rhododendron,Ericaceae,23700,genus,,0,NA,NA
Florida azalea,Florida azalea,Rhododendron austrinum,Rhododendron,Ericaceae,23705,species,,0,NA,NA
Rhododendron austrinum,Rhododendron austrinum,Rhododendron austrinum,Rhododendron,Ericaceae,23705,species,,0,NA,NA
Rhododendron canescens,Rhododendron canescens,Rhododendron canescens,Rhododendron,Ericaceae,23712,species,,0,NA,NA
Catawba rhododendron,Catawba rhododendron,Rhododendron catawbiense,Rhododendron,Ericaceae,23714,species,,0,NA,NA
Piedmont azalea,Piedmont azalea,Rhododendron flammeum,Rhododendron,Ericaceae,23717,species,,0,NA,NA
Plumleaf azalea,Plumleaf azalea,Rhododendron prunifolium,Rhododendron,Ericaceae,23728,species,,0,NA,NA
Coastal azalea,Coastal azalea,Rhododendron atlanticum,Rhododendron,Ericaceae,23704,species,,0,NA,NA
Great rhododendron,Great rhododendron,Rhododendron maximum,Rhododendron,Ericaceae,23721,species,,0,NA,NA
Jetbead,Jetbead,Rhodotypos scandens,Rhodotypos,Rosaceae,25298,species,,0,NA,NA
Sumac,Sumac,Rhus,Rhus,Anacardiaceae,28772,genus,,0,1,NA
Rhus copallinum,Rhus copallinum,Rhus copallinum,Rhus,Anacardiaceae,504754,species,,0,1,NA
Rhus glabra,Rhus glabra,Rhus glabra,Rhus,Anacardiaceae,28782,species,,0,1,NA
Rhus typhina,Rhus typhina,Rhus typhina,Rhus,Anacardiaceae,28777,species,,0,1,NA
Black locust,Black locust,Robinia pseudoacacia,Robinia,Fabaceae,504804,species,,0,1,NA
Rose,Rose,Rosa,Rosa,Rosaceae,24807,genus,,0,NA,NA
Multiflora rose,Multiflora rose,Rosa multiflora,Rosa,Rosaceae,24833,species,,0,NA,NA
Brambles,Brambles,Rubus,Rubus,Rosaceae,24848,genus,,0,NA,NA
